Wallet Address,Transaction Count,Total Volume ($),Last Activity (Days Ago),NFTs Owned,Staking Participation,Region,User Type
0xa178a84dbe36382e7c8f9e65b4810e9e8cdfa347,73,5614.98,496,21,No,North America,New
0x87cdaf9eaa56f52e98b528b7bfb634acb264cdba,63,6255.08,101,43,Yes,Africa,Active
0xcb6e0a363d11bb15fa1303f5acec348c18eb96f9,18,4604.53,182,26,Yes,South America,Active
0x0bd1871f00eeffbd560d4eb918b38eeeb0a8466f,75,6114.05,524,17,Yes,North America,New
0x9ca111a0bdb056cb096bf9e4c8926dda67e05b3e,40,1075.04,185,8,Yes,North America,New
0x37d4c02b19cb8a664d5b68e0234c34387b25fff6,143,4252.12,259,27,No,Europe,New
0xa3ea9f9d3b83e3c7a394c12322094f1835d44261,150,9266.27,501,34,No,Africa,New
0x59a0aeb64ba4eef0da0833b5ba7cc914744e1cfa,110,547.03,232,10,No,North America,Whale
0x208286018aa454584a0594dbba63274e23b0abbc,48,9101.34,58,44,Yes,Oceania,New
0x67b8f877ba23eb7429957dc1eda00e25a990aaa5,93,8807.01,91,44,Yes,South America,New
0x38c050a2e921c36789da6d7973003ff941f348c9,134,6742.79,609,45,Yes,South America,Whale
0x3adf2fc4dc5fa244572f69e125053592a6e8e549,136,72.27,256,13,No,South America,Dormant
0x30408b9f662c19333ac34d141338e7978c6ef46c,46,8009.3,659,6,Yes,Asia,New
0x2a7994e02ac8941d67de5406b55ede6e7068727e,45,5565.58,83,28,No,Oceania,Dormant
0x158e7ca19273f2cff3a691816713bcb2496fa323,94,22.27,321,45,No,Africa,Dormant
0xc8f1255c3f5d1971a7deda77a1476f57198505e2,5,5871.84,168,33,No,Asia,Dormant
0xe27e29b1bb607c9f4085a2f14783fb4c54b24e6f,65,1489.78,524,8,Yes,North America,Whale
0x2356256e1354052a4dc7727a9f474a917930929d,86,1932.3,114,12,Yes,North America,Whale
0x679dd39deaf52ae9cba9304d395004a6b6e4f124,48,2723.67,313,15,Yes,Africa,Whale
0xb6b7c9106d7e296a0d23841d414ae3196423dec6,21,5156.68,611,44,No,South America,New
0x6b1c97df37465d10f4df19a6f3f5dddba1cd0a3b,135,6487.25,155,1,Yes,Africa,Active
0x2ddc4edea36f01d3ef9c67abf8d7212af92474c1,47,8070.83,294,48,Yes,Oceania,Dormant
0x5c4a02ed1a3fc8e85333f30f4cc0c754bd4d0824,108,4180.32,551,27,No,North America,Active
0xde035a3eb3e78e200bf1a6ac51cdb0399f91e6f5,55,291.55,432,37,Yes,Europe,New
0x2fddccdea742a349c493e166db4ecccc6cf03f79,137,6590.59,432,40,No,Europe,Dormant
0xeed3a45fe6aaa535648905f069282756f645b0c6,82,8559.33,245,27,Yes,South America,Whale
0xf64a6a5c0b474fc0121885f7c112e67c89adeea9,48,5317.53,332,22,No,South America,New
0x779a21dba143abb57fe89f5168d4f351bf4a7621,49,3415.2,625,28,No,Asia,Dormant
0x1bd4188d8de4d0400fd698389625b406cbde9b29,16,2277.22,392,10,No,South America,Active
0xcdb4567b7233651fd60f251bc699bf009ae58d56,53,9923.0,253,46,Yes,Oceania,Active
0xb64f5ad4720c18f22b0c59123d5bc764b4cd3adf,48,4242.78,267,8,Yes,Africa,Dormant
0x6f673ff51be386528fcabedb88517794c06e81f8,125,3480.43,707,20,No,Europe,Whale
0xeff7b40357a21fa4588b59ef4396cff7d3eda9e2,22,241.19,52,10,Yes,Europe,Whale
0xbd0e76996f7955ca1175df8232a5c830310db1a1,23,7770.69,342,1,No,Europe,Dormant
0xe126cc2a75bb69920529d1440d3432214eb36949,28,8696.21,720,18,No,Europe,Dormant
0x35b1b3b331bd35255f8f7fb659e7107bda5279f7,40,4567.25,288,16,No,North America,Dormant
0x068d33659a4fef2c6f09dd270984cb04679f5f47,143,7160.71,87,20,Yes,Europe,Active
0x1ee4ad50df1c787e5397062f74e83decf12db345,44,1430.45,45,20,Yes,Oceania,Active
0xb937c9ef080b674ef6d8154f548b69a5bc5b5b67,82,7705.45,293,0,Yes,North America,Whale
0xfef71076fd665ce16d56afd26cb741c2baca721e,5,615.29,94,45,Yes,Europe,Whale
0xb7b27aba8956222e9839f73aeec6364c8b00e526,2,3812.4,64,20,No,Oceania,New
0x0c078fa6aa90bd7097a9306d8a3401ab30173c53,60,8820.55,269,31,No,Africa,New
0x46da5b83f263408c47f2c10b1f80fbb22595c5e3,143,8562.59,365,32,Yes,Oceania,Whale
0x74c0bd8db773976e5a1cb48e3a0f47a409dad03c,102,5602.4,322,43,No,North America,Whale
0xfa0809be3eedaad384c7bddbc633c1ed307a4212,78,1413.98,555,46,Yes,Europe,Whale
0x9734a724310b6d7dad7f5de718c5e4c6bf294cdd,125,7103.46,386,47,No,North America,Whale
0xd2d05de4b1f1a8446d005c7cb95d63141e9e3f5b,122,5037.91,227,13,Yes,Asia,Whale
0x69835bd2138c7dcce9825d3f69a850066f20042f,145,1879.69,617,36,Yes,Oceania,Dormant
0x5ae7932a3df1775e281f92db57659a01b7a2d1da,51,8312.85,271,42,Yes,Asia,Active
0x175e8b2e35b08286b8cd074e55c4da80ccf6f997,114,7800.08,380,17,Yes,North America,New
0xe9bdf4c676c46874210141b89e94ed72a2ae5238,107,2061.46,615,30,Yes,South America,Whale
0x61bce37859e467f060b6dbdfd49c26828b39c6a6,76,404.36,628,25,No,Asia,Whale
0xb82fb17b370e346e4e28fb5f79abf17ea9457bb3,70,8607.66,9,28,Yes,Oceania,Active
0x0e986b690a29623ffd94a2556bfb67853ac840fd,115,5989.58,244,6,Yes,Africa,Whale
0xa0641e99401178660f3b9c6c0e677a91f162e815,84,2590.44,22,40,No,Europe,Active
0xbe63a4b6bc733844fad0bc81b266521ff5f2dd7c,58,8312.47,712,36,No,South America,Active
0xa23afb54c4fd18c1c90958f7b19a300a88092dc2,30,5760.36,114,36,No,South America,Dormant
0xdfb69c958bee86bfc7c85da1becd3d9a1ca94077,84,96.69,224,40,No,Oceania,Whale
0x283a311eddce64bc61a4b748a890595719f7d51d,64,7229.59,514,41,Yes,Europe,Whale
0xe7c0dda26ff189924fe4153f366c7798424e2482,69,3148.46,73,17,Yes,Asia,Active
0xb3166132685c248e7dd98e236b67be1ba3d362a3,126,6867.65,576,35,Yes,North America,Dormant
0x7604e21f7daea0b8d9a42f09f8516c50808195b9,86,6889.34,29,25,Yes,North America,New
0x9f0609a67e2fccaa14aa6919f2f438266099e851,96,668.94,23,35,Yes,Europe,New
0xa41cd43e3d0f5915df6610b5d048045bc8307d21,42,77.06,143,6,Yes,North America,Whale
0x26f123a0449929d38d336bedc660f25b4898cd51,37,387.66,257,23,No,Asia,Active
0x15516eb7aaa42151c6fe548f72f3d43a22984d95,116,109.58,658,0,Yes,Europe,Dormant
0x70544752dd3c5a2067a9f7454fd7f6c8cd3d1676,29,7925.65,519,34,No,Europe,New
0x4e6cd40c875ee29d7039aba9e7670b57bc6d1f45,13,887.26,644,14,No,South America,Dormant
0xd4eb13d64eec94fbbb436c1fa4f6274ceb1d3fcd,81,5478.47,688,7,No,South America,Whale
0xaa2011811868c40fde0530784c90635210c067f7,88,8124.9,474,27,No,Oceania,Active
0x86d33002ea7575691c91ed2badc0e1bbd8742268,63,6746.06,415,44,No,Oceania,Dormant
0x6a5c7bdad3e557256cb1a915a8225e130f84ebb6,95,1197.55,479,3,Yes,Asia,Active
0x08c44d0fdc8ad29d3ec06fa1c5b40b06797c8551,137,7160.44,659,32,No,Africa,Active
0x69375e292cbeaf669856b236cfa9d9cf80067c25,79,4827.9,664,17,Yes,Oceania,Active
0xf3572681b78c5b0512ca7e8df650472ac35aac5b,77,9314.09,581,33,No,Africa,Active
0x8ad80065fb2a85fadc0b03968c852174687d062e,53,7072.99,695,47,Yes,Asia,Whale
0xca7dcaf271d1a2bee43750269a290e707134aad9,60,9979.05,410,47,No,Asia,New
0x97d90a79d07c3bf7b8b7a6d05c8f17ea012b2d65,129,2853.29,596,49,No,Africa,Active
0xbdc189e7c0996f20cee53a2223a64b845b4ef877,129,239.26,66,39,Yes,Europe,Active
0x5ea0c1ae64e43aef943b8c8a46ea05b670977b3f,40,5026.23,271,48,No,South America,Active
0x81a3a2ac558f399503c7f16c10ca27ffc93ac0a3,75,1780.95,708,18,No,North America,Dormant
0x4005729d2ad12a6e76b333241ae3ad0407f686c9,26,4314.5,427,30,Yes,Africa,New
0x2eff4f127599d85a83c32a40b0bb8ce4ab18cce0,3,1517.17,638,16,No,Asia,Dormant
0x22cb44df000b957fb2f00ce79c9e8e43ecc5c809,144,7867.42,625,32,No,South America,New
0x519c48bdddeb93cd80eee37829ac603f831b4570,136,4034.82,397,38,Yes,South America,Active
0xdb2d52e2c53b818dbc417989903d5cc5fd2e82ee,43,9958.49,43,17,No,Oceania,New
0xb56d73f697b684d0df763e8b22e09a051a0a6397,5,648.85,449,23,No,Europe,Whale
0x31c63ea609ffdc56d629a833fd693d8c045aabc8,68,183.01,227,4,Yes,South America,Dormant
0xbe6a87370ee342add3289043b148021319bb274b,106,4432.04,521,44,Yes,Europe,New
0xcd7ee0435929afbf5045c7bab4bed139c9c88b07,70,3749.9,543,5,Yes,North America,New
0x990a8b075a3758bdb9bbc6a9c4f4caff1e939b29,60,2494.86,496,50,No,North America,New
0xdea96426b3989ff324d08cde8b93cc3c1225ff11,37,1752.41,199,35,No,North America,Active
0x9d19636b9c22252e2ce7572e72121c75414130d5,64,6274.94,174,13,No,Europe,Whale
0xa7bd1131931ed7cad7e183e0dfabff9af41b4a53,4,2681.0,215,7,No,Asia,Whale
0x0cd7dfdd90d1a344de4d4774d50053a89cb5746f,19,907.26,143,8,No,Oceania,Active
0x6db056e638088b947bb25c56cbe359ce2a9d23c5,146,6646.22,32,28,No,South America,Whale
0xba85d09bc899322d9e9a3ab74184d55f5f680201,13,5598.71,162,7,No,Europe,Dormant
0x35b943b58f84d6724fdb77ce87c18b66dec00cce,2,5767.53,282,7,No,Oceania,New
0x4cb2934ca3670b0651e2c765bc3506ce4c8f2fb0,62,430.84,635,16,No,Oceania,New
0x30f3fd43b9ac53f80dbe27f3a8c3b16a7121347a,13,8783.68,259,3,Yes,North America,New
